,home_team_name,away_team_name,home_team_xG,away_team_xG,date
0,Barcelona,Real Sociedad,3.46,0.9,2021-08-15 00:00:00
1,Athletic Club,Barcelona,1.43,1.18,2021-08-21 00:00:00
2,Barcelona,Getafe,1.05,0.28,2021-08-29 00:00:00
3,Barcelona,Granada,1.88,0.61,2021-09-20 00:00:00
4,Cadiz,Barcelona,1.4,0.36,2021-09-23 00:00:00
5,Barcelona,Levante,3.11,0.71,2021-09-26 00:00:00
6,Atletico Madrid,Barcelona,1.37,0.75,2021-10-02 00:00:00
7,Barcelona,Valencia,2.38,0.38,2021-10-17 00:00:00
8,Barcelona,Real Madrid,1.59,1.55,2021-10-24 00:00:00
9,Rayo Vallecano,Barcelona,0.79,2.86,2021-10-27 00:00:00
10,Barcelona,Alaves,1.56,0.6,2021-10-30 00:00:00
11,Celta Vigo,Barcelona,1.77,1.14,2021-11-06 00:00:00
12,Barcelona,Espanyol,1.51,1.41,2021-11-20 00:00:00
13,Villarreal,Barcelona,1.56,3.37,2021-11-27 00:00:00
14,Barcelona,Real Betis,1.21,0.64,2021-12-04 00:00:00
15,Osasuna,Barcelona,0.37,1.39,2021-12-12 00:00:00
16,Barcelona,Elche,2.96,1.27,2021-12-18 00:00:00
17,Sevilla,Barcelona,0.3,1.91,2021-12-21 00:00:00
18,Mallorca,Barcelona,0.99,1.62,2022-01-02 00:00:00
19,Granada,Barcelona,0.75,0.97,2022-01-08 00:00:00
20,Alaves,Barcelona,0.73,1.15,2022-01-23 00:00:00
21,Barcelona,Atletico Madrid,0.93,1.61,2022-02-06 00:00:00
22,Espanyol,Barcelona,0.62,1.62,2022-02-13 00:00:00
23,Valencia,Barcelona,0.77,2.47,2022-02-20 00:00:00
24,Barcelona,Athletic Club,3.24,0.33,2022-02-27 00:00:00
25,Elche,Barcelona,0.85,4.09,2022-03-06 00:00:00
26,Barcelona,Osasuna,3.9,0.11,2022-03-13 00:00:00
27,Real Madrid,Barcelona,0.63,4.26,2022-03-20 00:00:00
28,Barcelona,Sevilla,1.93,0.49,2022-04-03 00:00:00
29,Levante,Barcelona,2.99,1.36,2022-04-10 00:00:00
30,Barcelona,Cadiz,1.35,1.93,2022-04-18 00:00:00
31,Real Sociedad,Barcelona,1.03,1.96,2022-04-21 00:00:00
32,Barcelona,Rayo Vallecano,1.11,0.25,2022-04-24 00:00:00
33,Barcelona,Mallorca,1.64,1.24,2022-05-01 00:00:00
34,Real Betis,Barcelona,0.63,1.2,2022-05-07 00:00:00
35,Barcelona,Celta Vigo,1.23,0.85,2022-05-10 00:00:00
36,Getafe,Barcelona,0.24,0.2,2022-05-15 00:00:00
37,Barcelona,Villarreal,0.63,0.69,2022-05-22 00:00:00
38,Barcelona,Rayo Vallecano,1.37,0.77,2022-08-13 00:00:00
39,Real Sociedad,Barcelona,0.8,2.04,2022-08-21 00:00:00
40,Barcelona,Real Valladolid,3.29,0.72,2022-08-28 00:00:00
41,Sevilla,Barcelona,0.83,4.68,2022-09-03 00:00:00
42,Cadiz,Barcelona,0.25,2.67,2022-09-10 00:00:00
43,Barcelona,Elche,5.18,0.01,2022-09-17 00:00:00
44,Mallorca,Barcelona,0.93,0.64,2022-10-01 00:00:00
45,Barcelona,Celta Vigo,1.98,1.35,2022-10-09 00:00:00
46,Real Madrid,Barcelona,1.47,1.67,2022-10-16 00:00:00
47,Barcelona,Villarreal,3.62,0.5,2022-10-20 00:00:00
48,Barcelona,Athletic Club,2.14,0.24,2022-10-23 00:00:00
49,Valencia,Barcelona,0.19,2.33,2022-10-29 00:00:00
50,Barcelona,Almeria,4.34,0.54,2022-11-05 00:00:00
51,Osasuna,Barcelona,1.24,1.01,2022-11-08 00:00:00
52,Barcelona,Espanyol,2.75,0.85,2022-12-31 00:00:00
53,Atletico Madrid,Barcelona,1.94,1.24,2023-01-08 00:00:00
54,Barcelona,Getafe,0.71,1.25,2023-01-22 00:00:00
55,Girona,Barcelona,0.89,0.98,2023-01-28 00:00:00
56,Real Betis,Barcelona,0.76,2.38,2023-02-01 00:00:00
57,Barcelona,Sevilla,3.1,0.04,2023-02-05 00:00:00
58,Villarreal,Barcelona,1.05,1.38,2023-02-12 00:00:00
59,Barcelona,Cadiz,2.29,1.4,2023-02-19 00:00:00
